"";"TOT_EMP";"H_MEAN";"A_MEAN";"H_PCT10";"H_PCT25";"H_MEDIAN";"H_PCT75";"H_PCT90";"A_PCT10";"A_PCT25";"A_MEDIAN";"A_PCT75";"A_PCT90"
"Food Batchmakers";120850;13,84;28790;8,7;10,07;12,87;16,85;21,1;18100;20950;26770;35040;43880
"Food Cooking Machine Operators and Tenders";36850;14,06;29250;8,78;10,34;13,26;17,19;21,17;18250;21510;27590;35750;44040
"Food Processing Workers, All Other";43690;12,11;25190;8,47;9,61;11,43;13,98;17,1;17620;19980;23780;29090;35560
"Metal Workers and Plastic Workers";1918310;18,33;38140;10,85;13,55;17,37;22,12;27,62;22570;28190;36120;46000;57440
"Computer Control Programmers and Operators";172990;19,08;39690;11,74;14,31;18,15;22,71;28,17;24410;29770;37740;47230;58580
"Computer-Controlled Machine Tool Operators, Metal and Plastic";148040;18,23;37920;11,38;13,85;17,52;21,88;26,63;23670;28810;36440;45510;55400
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic";24960;24,13;50200;15,24;18,32;22,84;28,57;35,51;31710;38090;47500;59430;73860
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic";127240;17,2;35770;10,45;12,83;16,5;21,02;25,21;21740;26690;34320;43710;52430
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic";72520;16,25;33800;10,19;12,44;15,68;19,53;23,07;21210;25880;32610;40630;47980
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic";21340;17,06;35480;10,29;12,45;16,21;20,93;25,94;21400;25890;33710;43530;53960
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic";33370;19,34;40230;11,62;14,31;19,18;23,32;28,14;24160;29760;39900;48500;58530
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic";342520;16,35;34000;10,1;12,32;15,56;19,38;23,54;21000;25630;32360;40300;48970
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic";190250;15,59;32430;9,83;11,87;14,75;18,35;22,66;20440;24690;30680;38180;47130
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic";17470;17,44;36280;10,55;12,98;16,59;20,88;25,89;21940;27000;34500;43420;53840
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic";70130;16,42;34150;10,25;12,42;15,7;19,45;23,45;21310;25840;32660;40460;48780
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic";42570;17,96;37360;11,09;13,81;17,43;21,59;25,88;23070;28710;36260;44910;53830
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic";22110;18,67;38830;11,24;14,02;17,84;22,4;27,82;23390;29160;37100;46590;57860
"Machinists";392700;19,97;41540;11,84;15,1;19,22;24,01;29,2;24620;31410;39980;49950;60740
"Metal Furnace Operators, Tenders, Pourers, and Casters";30540;18,79;39090;12,07;14,65;18,63;22,36;26,54;25100;30470;38740;46500;55210
"Metal-Refining Furnace Operators and Tenders";20850;19,83;41260;13,08;16,07;19,78;22,98;27,25;27210;33430;41140;47800;56670
"Pourers and Casters, Metal";9690;16,55;34430;10,48;12,69;15,58;19,88;23,45;21790;26390;32410;41350;48770
"Model Makers and Patternmakers, Metal and Plastic";9910;22,03;45820;11,57;15,68;21,24;27,78;34,1;24070;32600;44190;57770;70920
"Model Makers, Metal and Plastic";6140;23,26;48370;12,3;16,45;22,2;29,67;35,62;25570;34220;46180;61720;74090
"Patternmakers, Metal and Plastic";3770;20,03;41670;10,75;14,32;19,9;25,3;29,18;22360;29780;41390;52620;60690
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic";140410;14,79;30760;9,43;11,13;13,95;17,59;21,79;19620;23140;29020;36590;45330
"Foundry Mold and Coremakers";11870;15,63;32510;10,26;12,25;15,07;18,22;22,16;21350;25480;31340;37900;46080
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic";128540;14,71;30600;9,37;11,04;13,85;17,51;21,75;19490;22960;28810;36430;45240
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic";98160;16,96;35290;10,57;12,99;16,42;20,42;23,95;21980;27010;34140;42480;49820
"Tool and Die Makers";75950;24,08;50090;15,05;19,17;23,5;29,14;34,67;31310;39880;48890;60610;72120
"Welding, Soldering, and Brazing Workers";424960;19,03;39570;12,14;14,68;17,85;22,31;27,83;25250;30540;37120;46400;57900
"Welders, Cutters, Solderers, and Brazers";369610;19,25;40040;12,26;14,85;17,99;22,5;28,17;25510;30890;37420;46810;58590
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders";55360;17,53;36450;11,2;13,64;16,91;20,86;24,86;23290;28380;35180;43390;51720
"Miscellaneous Metal Workers and Plastic Workers";102920;17,41;36200;10,1;12,46;16,25;21,22;26,92;21000;25930;33800;44140;55990
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic";20980;17,72;36850;11,01;13,56;16,98;21,16;25,87;22900;28200;35320;44010;53820
"Layout Workers, Metal and Plastic";13070;22,26;46290;12,98;16,51;21,65;27;32,34;27000;34350;45020;56150;67270
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic";35900;15,54;32330;9,74;11,56;14,52;18,32;23,16;20270;24050;30210;38110;48170
"Tool Grinders, Filers, and Sharpeners";10860;17,97;37380;10,7;13,2;17,03;21,6;26,7;22250;27450;35420;44940;55530
"Metal Workers and Plastic Workers, All Other";22100;16,99;35340;9,49;11,45;15,45;20,89;27,78;19740;23820;32130;43450;57780
"Printing Workers";254360;17,29;35960;9,72;12,47;16,47;21,23;26,34;20220;25930;34250;44150;54780
"Prepress Technicians and Workers";36180;18,75;39000;10,61;13,85;17,89;22,69;28,17;22060;28820;37200;47200;58600
"Printing Press Operators";166750;17,64;36700;9,85;12,8;16,87;21,64;26,79;20490;26620;35100;45020;55720
"Print Binding and Finishing Workers";51430;15,11;31420;9,2;11,04;14,19;18,18;22,59;19130;22960;29500;37810;46990
"Textile, Apparel, and Furnishings Workers";574440;11,99;24940;8,31;9,05;10,86;13,9;17,65;17280;18820;22590;28920;36710
"Laundry and Dry-Cleaning Workers";199330;10,66;22170;8,13;8,72;9,77;11,72;14,67;16910;18140;20320;24370;30520
"Pressers, Textile, Garment, and Related Materials";50150;10,22;21260;8,09;8,69;9,69;11,42;13,67;16820;18070;20150;23750;28440
"Sewing Machine Operators";142070;11,54;23990;8,33;8,95;10,54;13,45;16,77;17330;18610;21920;27970;34880
"Shoe and Leather Workers";11260;12,51;26010;8,33;9,38;11,55;14,7;18,24;17320;19510;24030;30580;37940
"Shoe and Leather Workers and Repairers";7710;12,42;25840;8,34;9,37;11,43;14,35;18,19;17350;19500;23770;29850;37830
"Shoe Machine Operators and Tenders";3550;12,69;26390;8,29;9,39;11,9;15,7;18,31;17230;19530;24750;32660;38080
"Tailors, Dressmakers, and Sewers";26160;13,57;28220;8,67;10,01;12,31;15,62;19,04;18040;20810;25610;32490;39610
"Sewers, Hand";5960;12,01;24980;8,54;9,57;11,36;13,82;16,9;17770;19920;23630;28740;35150
"Tailors, Dressmakers, and Custom Sewers";20200;14,03;29170;8,73;10,18;12,72;16,3;20,31;18150;21160;26460;33890;42240
"Textile Machine Setters, Operators, and Tenders";74390;12,99;27020;8,98;10,45;12,64;14,84;17,81;18670;21740;26280;30880;37050
"Textile Bleaching and Dyeing Machine Operators and Tenders";11510;12,7;26410;8,73;10,01;11,99;15,01;17,87;18160;20820;24930;31210;37160
"Textile Cutting Machine Setters, Operators, and Tenders";14370;12,86;26760;8,68;10,05;12,3;14,68;17,96;18040;20910;25590;30540;37360
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders";22760;13,41;27890;9,02;10,7;13,11;15,76;18,18;18760;22260;27270;32790;37810
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders";25740;12,83;26680;9,46;10,69;12,62;14,46;17,16;19670;22240;26250;30080;35690
"Miscellaneous Textile, Apparel, and Furnishings Workers";71090;16,16;33610;9,38;11,63;14,95;18,9;24,58;19510;24180;31100;39320;51130
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers";19770;16,39;34090;10,32;12,61;15,85;19,32;23,26;21460;26220;32970;40180;48390
"Fabric and Apparel Patternmakers";5440;22,73;47280;10,59;14,02;19,86;30,44;39,74;22030;29150;41310;63310;82650
"Upholsterers";29770;16;33280;9,58;11,79;15,33;18,63;24,02;19940;24530;31890;38750;49950
"Textile, Apparel, and Furnishings Workers, All Other";16110;13,95;29010;8,64;9,89;12,72;16,25;22,3;17980;20570;26460;33800;46380
"Woodworkers";229870;14,78;30740;9,25;11,06;13,9;17,55;21,91;19230;23000;28920;36510;45570
"Cabinetmakers and Bench Carpenters";88170;16,11;33500;9,68;11,98;15,18;18,87;23,86;20130;24910;31580;39240;49630
"Furniture Finishers";15320;14,74;30660;9,54;11,41;13,85;17,24;21,28;19850;23730;28810;35860;44260
"Model Makers and Patternmakers, Wood";2310;17,67;36760;9,89;12,22;16,21;20,99;28,85;20580;25410;33710;43660;60000
"Model Makers, Wood";1360;16,62;34570;9,58;11,67;14,88;18,5;27;19930;24260;30940;38470;56160
"Patternmakers, Wood";950;19,17;39870;10,44;13,83;18,26;22,84;31,22;21710;28770;37980;47510;64940
"Woodworking Machine Setters, Operators, and Tenders";117120;13,71;28510;8,98;10,59;13,13;16,29;19,27;18680;22020;27300;33880;40090
"Sawing Machine Setters, Operators, and Tenders, Wood";46320;13,66;28410;8,84;10,42;13;16,35;19,56;18390;21670;27040;34010;40680
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing";70810;13,74;28580;9,09;10,7;13,2;16,25;19,09;18900;22260;27450;33800;39700
"Miscellaneous Woodworkers";6940;15,1;31410;8,8;10,34;13,51;19,4;23,65;18300;21500;28100;40340;49180
"Woodworkers, All Other";6940;15,1;31410;8,8;10,34;13,51;19,4;23,65;18300;21500;28100;40340;49180
"Plant and System Operators";315200;27,49;57170;15,36;20,12;26,86;34,34;41,49;31950;41850;55870;71430;86310
"Power Plant Operators, Distributors, and Dispatchers";58880;34,89;72560;22,82;29,23;35,05;41,59;46,78;47460;60790;72910;86520;97300
"Nuclear Power Reactor Operators";7400;39,55;82270;30,24;34,3;39,66;45,05;49,56;62890;71340;82500;93710;103090
"Power Distributors and Dispatchers";11180;37,58;78170;24,74;30,93;37,62;44,56;51,87;51450;64320;78240;92690;107880
"Power Plant Operators";40300;33,28;69220;21,22;27,63;33,69;39,42;45,22;44130;57470;70070;82000;94060
"Stationary Engineers and Boiler Operators";37550;27,92;58070;16,88;21,55;27,08;33,43;41,19;35110;44830;56330;69530;85670
"Water and Wastewater Treatment Plant and System Operators";111640;22,18;46140;12,81;16,4;21,2;27,07;33,78;26640;34110;44100;56290;70270
"Miscellaneous Plant and System Operators";107130;28,79;59890;17,37;22,65;28,66;34,77;40,48;36140;47110;59620;72330;84210
"Chemical Plant and System Operators";37490;27,01;56170;16,53;21;26,88;33,04;37,68;34380;43680;55900;68720;78380
"Gas Plant Operators";16320;30,48;63400;19,93;25,24;30,82;35,72;41,48;41460;52490;64100;74300;86280
"Petroleum Pump System Operators, Refinery Operators, and Gaugers";41700;30,37;63160;18,42;24,08;30,21;36,13;42,81;38320;50080;62830;75150;89040
"Plant and System Operators, All Other";11610;26,56;55240;15,45;20,55;26,55;32;36,6;32130;42750;55230;66550;76130
"Other Production Occupations";2471030;16;33270;9,06;10,96;14,56;19,24;25,4;18840;22800;30290;40010;52840
"Chemical Processing Machine Setters, Operators, and Tenders";108030;22,09;45940;12,4;15,93;21,22;27,69;33,67;25780;33140;44140;57590;70040
"Chemical Equipment Operators and Tenders";64710;23,63;49150;13,54;17,32;23,12;29,16;34,97;28160;36020;48090;60650;72740
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders";43310;19,78;41150;11,13;14,29;18,55;24,51;29,85;23150;29730;38590;50970;62080
"Crushing, Grinding, Polishing, Mixing, and Blending Workers";181960;16,72;34780;9,97;12,29;15,89;20,3;24,87;20740;25560;33040;42230;51720
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders";29980;16,68;34700;9,96;12,16;15,9;20,14;24,28;20720;25290;33070;41890;50510
"Grinding and Polishing Workers, Hand";29320;14,41;29980;9,36;10,93;13,63;17,2;21,08;19460;22730;28340;35780;43840
"Mixing and Blending Machine Setters, Operators, and Tenders";122670;17,28;35950;10,22;12,78;16,51;21,08;25,92;21260;26580;34340;43850;53910
"Cutting Workers";78090;15,39;32020;9,61;11,57;14,74;18,4;22,59;19990;24060;30650;38280;46980
"Cutters and Trimmers, Hand";15520;13,54;28160;8,9;10,16;12,46;15,68;20,12;18500;21130;25920;32620;41850
"Cutting and Slicing Machine Setters, Operators, and Tenders";62570;15,85;32970;9,93;12,12;15,4;18,81;22,81;20660;25210;32040;39130;47450
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders";67490;16,09;33470;9,88;12,02;15,43;19,27;23,43;20550;25000;32100;40080;48740
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders";20590;17,69;36800;10,86;13,25;16,78;21,44;26,5;22580;27560;34900;44600;55110
"Inspectors, Testers, Sorters, Samplers, and Weighers";489750;18,46;38400;10,01;12,79;16,99;22,54;29,06;20820;26610;35330;46870;60440
"Jewelers and Precious Stone and Metal Workers";23200;19,4;40350;10,16;13,03;17,73;23,34;29,67;21130;27110;36870;48550;61720
"Medical, Dental, and Ophthalmic Laboratory Technicians";76220;17,63;36660;10,09;12,48;16,07;21,08;27,65;20980;25950;33430;43850;57520
"Dental Laboratory Technicians";35320;19,3;40140;10,64;13,62;17,71;23,38;29,51;22120;28340;36830;48630;61390
"Medical Appliance Technicians";13290;18,75;39000;10,86;13,51;17,11;22,13;29,43;22590;28110;35580;46030;61220
"Ophthalmic Laboratory Technicians";27610;14,95;31100;9,58;11,26;13,89;17,41;21,91;19930;23410;28890;36210;45570
"Packaging and Filling Machine Operators and Tenders";381760;13,92;28940;8,67;9,91;12,7;16,83;21,56;18040;20610;26410;35010;44840
"Painting Workers";156830;17,49;36370;10,23;12,66;16,22;20,93;26,95;21280;26320;33740;43530;56050
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders";90590;15,81;32890;9,93;12,05;15,13;18,67;22,95;20640;25060;31460;38840;47730
"Painters, Transportation Equipment";49950;21,43;44580;12,37;15,44;19,6;26,23;33,16;25730;32120;40770;54570;68970
"Painting, Coating, and Decorating Workers";16280;14,68;30540;9,12;10,97;13,82;17,33;21,71;18960;22820;28750;36040;45150
"Semiconductor Processors";23580;17,68;36770;11,79;13,66;16,67;20,61;25,77;24520;28410;34680;42860;53610
"Photographic Process Workers and Processing Machine Operators";28800;13,68;28460;8,58;9,72;11,83;15,71;21,87;17840;20220;24600;32670;45480
"Miscellaneous Production Workers";834750;14,07;29270;8,62;9,9;12,72;17;21,96;17930;20590;26470;35350;45680
"Adhesive Bonding Machine Operators and Tenders";18210;16,28;33860;9,96;12,06;15,07;19,02;23,97;20720;25080;31340;39560;49860
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders";17360;13,82;28750;8,96;10,37;12,94;16,45;20,28;18650;21560;26910;34230;42180
"Cooling and Freezing Equipment Operators and Tenders";8070;14,8;30790;9,18;10,85;13,6;18,35;22,5;19100;22570;28280;38170;46810
"Etchers and Engravers";8630;15,02;31240;8,91;10,78;14,06;18,32;22,75;18530;22420;29250;38110;47320
"Molders, Shapers, and Casters, Except Metal and Plastic";34610;15,24;31700;9,3;11,25;14,34;18,03;22,78;19340;23400;29820;37510;47390
"Paper Goods Machine Setters, Operators, and Tenders";92170;17,57;36550;10,01;13,12;16,95;21,43;26,6;20820;27280;35260;44580;55320
"Tire Builders";17680;20,17;41960;12,03;15,6;20,45;25,41;28,16;25030;32460;42540;52850;58560
"Helpers--Production Workers";420520;12,31;25600;8,4;9,35;11,35;14,42;17,95;17470;19440;23610;30000;37330
"Production Workers, All Other";217500;15,08;31360;8,74;10,16;13,59;18,09;23,8;18170;21140;28260;37630;49490
"Transportation and Material Moving Occupations";9249310;16,57;34460;8,71;10,25;14,2;19,97;27,62;18120;21330;29530;41530;57440
"Supervisors of Transportation and Material Moving Workers";374480;25,72;53510;14,63;18,57;24,36;31,47;38,32;30420;38620;50660;65460;79700
"Aircraft Cargo Handling Supervisors";5750;24,41;50760;14,54;17,58;22,96;30,03;36,73;30250;36570;47760;62460;76400
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand";171720;23,55;48980;13,63;17,24;22,45;28,7;35,67;28360;35860;46690;59700;74190
"First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators";197000;27,66;57530;15,59;20,09;26,41;33,9;41,65;32430;41780;54930;70510;86640
"Air Transportation Workers";242350;NA;85680;NA;NA;NA;NA;NA;33170;42300;70060;115230;162330
"Aircraft Pilots and Flight Engineers";113920;NA;115230;NA;NA;NA;NA;NA;46750;73260;103390;145330;187200
"Airline Pilots, Copilots, and Flight Engineers";75760;NA;131760;NA;NA;NA;NA;NA;64780;88830;118140;160520;187200
"Commercial Pilots";38170;NA;82430;NA;NA;NA;NA;NA;35250;52450;75620;104160;141210
"Air Traffic Controllers and Airfield Operations Specialists";29920;49,44;102840;20,29;31,08;48,78;67,05;80,44;42200;64640;101460;139470;167320
"Air Traffic Controllers";22860;57,11;118780;32,24;41,75;58,82;72,45;82,69;67070;86830;122340;150690;172000
"Airfield Operations Specialists";7050;24,61;51190;12,12;16,48;23,64;29,64;39,28;25200;34270;49180;61650;81700
"Flight Attendants";98510;NA;46300;NA;NA;NA;NA;NA;28820;34990;42290;54350;72560
"Motor Vehicle Operators";3741430;17,29;35970;9,03;11,66;16,15;21,51;27,89;18780;24250;33590;44750;58020
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians";19350;12,26;25490;8,49;9,55;11,58;14,15;17,46;17650;19850;24080;29430;36310
"Bus Drivers";657500;15,48;32190;8,8;10,96;14,53;18,67;23,58;18310;22790;30220;38840;49040
"Bus Drivers, Transit and Intercity";158050;18,95;39410;10,28;13,03;18,02;23,96;29,6;21390;27090;37470;49840;61570
"Bus Drivers, School or Special Client";499440;14,38;29910;8,6;10,38;13,87;17,56;21,45;17880;21600;28850;36530;44610
"Driver/Sales Workers and Truck Drivers";2828110;18,09;37620;9,21;12,39;16,98;22,42;28,84;19170;25760;35330;46640;59980
"Driver/Sales Workers";405810;13,33;27720;8,18;8,86;10,7;16,58;22,64;17020;18420;22250;34480;47090
"Heavy and Tractor-Trailer Truck Drivers";1625290;20,16;41930;12,37;15,39;19;23,75;29,4;25740;32000;39520;49410;61150
"Light Truck or Delivery Services Drivers";797010;16,28;33870;8,88;10,69;14,21;19,33;29,19;18460;22240;29570;40200;60710
"Taxi Drivers and Chauffeurs";178260;12,35;25690;8,4;9,3;11,16;14,23;18,01;17470;19350;23210;29600;37470
"Miscellaneous Motor Vehicle Operators";58210;16,02;33320;8,48;9,44;13,9;21,59;26,64;17630;19630;28910;44900;55410
"Motor Vehicle Operators, All Other";58210;16,02;33320;8,48;9,44;13,9;21,59;26,64;17630;19630;28910;44900;55410
"Rail Transportation Workers";122870;26,75;55640;18,48;21,47;26,15;30,77;36,72;38440;44650;54380;64000;76380
"Locomotive Engineers and Operators";43970;26,83;55800;18,45;21,36;25,67;29,66;36,99;38380;44440;53400;61690;76950
"Locomotive Engineers";38470;27,41;57000;19,03;22,03;26,2;30;37,31;39580;45820;54500;62410;77600
"Locomotive Firers";1610;25,81;53690;17,71;20,06;22,47;29,43;42,74;36840;41730;46740;61220;88890
"Rail Yard Engineers, Dinkey Operators, and Hostlers";3900;21,54;44810;15,24;17,98;21,1;24,75;28,87;31710;37400;43880;51470;60050
"Railroad Brake, Signal, and Switch Operators";21060;25,14;52280;18,53;20,99;25,17;29,01;33,48;38540;43670;52360;60340;69640
"Railroad Conductors and Yardmasters";42900;26,84;55820;18,38;21,53;26,33;31,49;36,79;38220;44790;54770;65500;76510
"Subway and Streetcar Operators";11300;28,48;59230;19,56;23,14;29,87;34,52;37,01;40690;48140;62130;71810;76980
"Miscellaneous Rail Transportation Workers";3640;28,82;59950;15,56;20,97;28,59;38,25;43,39;32360;43610;59480;79570;90240
"Rail Transportation Workers, All Other";3640;28,82;59950;15,56;20,97;28,59;38,25;43,39;32360;43610;59480;79570;90240
"Water Transportation Workers";72450;29,73;61830;12,35;17,55;25,54;37,31;53,19;25690;36500;53130;77610;110630
"Sailors and Marine Oilers";27640;19,7;40970;10,33;13,78;18,8;24,33;30,2;21480;28670;39100;50610;62810
"Ship and Boat Captains and Operators";34760;35,93;74730;15,06;22,25;32,73;45,92;59,72;31320;46280;68080;95520;124210
"Captains, Mates, and Pilots of Water Vessels";30690;38,07;79180;17,49;24,23;34,78;47,67;61,7;36370;50410;72340;99160;128330
"Motorboat Operators";4060;19,78;41130;9,24;11,78;17,85;28;33,3;19230;24510;37120;58240;69250
"Ship Engineers";10060;35,87;74600;17,77;22,83;32,74;44,28;60,6;36950;47490;68100;92100;126040
"Other Transportation Workers";331570;13,6;28280;8,33;9,01;10,64;14,43;23,08;17320;18740;22130;30000;48010
"Bridge and Lock Tenders";3280;22,22;46210;12,45;17,1;23,14;26,65;29,01;25900;35570;48120;55440;60350
"Parking Lot Attendants";136440;10,39;21610;8,21;8,72;9,52;11,42;14,14;17070;18150;19800;23750;29410
"Automotive and Watercraft Service Attendants";104750;10,9;22660;8,26;8,9;10,05;11,93;14,8;17180;18520;20900;24820;30790
"Traffic Technicians";6490;22,38;46540;13,09;16,27;20,88;28,03;34,68;27220;33840;43430;58300;72130
"Transportation Inspectors";24350;34,05;70820;15,78;23,46;33,26;44,19;54,98;32820;48800;69170;91910;114360
"Transportation Attendants, Except Flight Attendants";16380;13,01;27060;8,26;8,96;11,24;14,8;22,22;17190;18640;23380;30780;46220
"Miscellaneous Transportation Workers";39890;17,28;35940;9,55;11,64;16,25;21,69;26,58;19870;24220;33790;45110;55290
"Transportation Workers, All Other";39890;17,28;35940;9,55;11,64;16,25;21,69;26,58;19870;24220;33790;45110;55290
"Material Moving Workers";4364160;13,52;28120;8,5;9,44;11,92;16,09;21,2;17680;19640;24790;33460;44090
"Conveyor Operators and Tenders";38830;16,35;34020;10,41;12,57;15,01;18,73;25,22;21660;26150;31220;38950;52450
"Crane and Tower Operators";44540;25,75;53550;14,67;18,7;24,39;31,16;39,16;30520;38890;50720;64810;81450
"Dredge, Excavating, and Loading Machine Operators";53590;21,38;44470;12,89;15,72;19,54;25,87;33;26820;32690;40650;53820;68640
"Dredge Operators";1900;21,94;45640;12,28;15,48;19,69;26,91;34,77;25540;32200;40950;55980;72330
"Excavating and Loading Machine and Dragline Operators";47470;21,23;44160;12,89;15,64;19,15;25,32;33,31;26800;32540;39830;52670;69280
"Loading Machine Operators, Underground Mining";4220;22,84;47500;13,31;18,29;24,18;27,73;29,92;27680;38040;50290;57670;62230
"Hoist and Winch Operators";2840;23,47;48820;12,49;15,09;19,03;31,88;41,84;25970;31380;39580;66310;87030
"Industrial Truck and Tractor Operators";521840;16,02;33320;10,1;12,11;15,07;18,66;23,03;21010;25190;31340;38810;47900
"Laborers and Material Movers, Hand";3519730;12,56;26120;8,39;9,2;11,24;14,63;18,84;17460;19130;23380;30420;39190
"Cleaners of Vehicles and Equipment";321740;11,22;23340;8,19;8,8;9,94;12,5;16,34;17040;18300;20670;25990;33980
"Laborers and Freight, Stock, and Material Movers, Hand";2400490;13,07;27180;8,51;9,47;11,74;15,24;19,73;17700;19700;24430;31690;41030
"Machine Feeders and Offbearers";104340;14,73;30630;9,16;10,74;14,08;18,37;21,85;19040;22340;29290;38210;45450
"Packers and Packagers, Hand";693170;11,08;23040;8,19;8,78;9,77;12,52;16,33;17040;18260;20330;26050;33960
"Pumping Station Operators";29590;23,51;48900;13,03;16,92;22,87;29,31;35,1;27110;35190;47570;60960;73020
"Gas Compressor and Gas Pumping Station Operators";4700;26,65;55430;16,94;22,15;27,06;31,6;35,82;35240;46070;56280;65720;74500
"Pump Operators, Except Wellhead Pumpers";12170;22,45;46700;12,22;15,62;20,91;28,41;35,03;25410;32480;43500;59100;72870
"Wellhead Pumpers";12720;23,36;48590;13,19;17,06;22,76;28,9;34,74;27440;35490;47340;60120;72250
"Refuse and Recyclable Material Collectors";115170;17,32;36030;9,37;11,74;16,18;21,53;28,17;19480;24430;33660;44790;58590
"Mine Shuttle Car Operators";2630;26,36;54830;20,94;23,95;26,44;28,89;31,92;43560;49820;55000;60080;66400
"Tank Car, Truck, and Ship Loaders";12490;21,41;44540;11,02;14,55;19,8;28,26;34,57;22920;30270;41180;58770;71900
"Miscellaneous Material Moving Workers";22910;18,19;37840;8,91;10,53;14,82;24,08;33,12;18530;21900;30830;50080;68890
"Material Moving Workers, All Other";22910;18,19;37840;8,91;10,53;14,82;24,08;33,12;18530;21900;30830;50080;68890
